HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
26118,26071.01709,1.37786305,-0.40940848,8.567650795,0.023182238,-0.005329249,-0.007993874,-7.94134903,1.499940038,4.14150095,29.79999924,99151,216.2501984,169.3041382,0,0,0,0
26158,26110.27051,1.323993564,-0.414196908,8.775946617,0.095393561,0.012257273,-0.002398162,-7.774689198,1.499940038,4.14150095,29.79999924,99151,216.5043335,169.080307,0,0,0,0
26198,26151.4458,1.33835876,-0.275333196,8.538920403,0.05595712,-0.009859112,-0.006661562,-7.774689198,1.458274961,4.099835873,29.79999924,99151,216.1654816,169.3766479,0,0,0,0
26238,26190.00366,1.221042871,-0.353144765,8.608352661,0.059154671,0.006928025,-0.006661562,-7.916349888,1.458274961,3.999840021,29.79999924,99151,215.8266449,169.5625153,0,0,0,0
26278,26230.11548,1.233013868,-0.380678058,8.640673637,0.066882081,-0.004796324,-0.008260337,-7.916349888,1.633267999,4.14150095,29.79999924,99151,216.589035,168.3425446,0,0,0,0
26318,26273.36548,1.254561663,-0.434547603,8.599972725,0.07087902,0.005595712,-0.0063951,-7.849686146,1.499940038,4.083169937,29.79999924,99151,215.8266449,169.1821594,0,0,0,0
26358,26311.18262,1.346738458,-0.219069451,8.777143478,0.072477795,-0.010392036,-0.005062787,-7.891351223,1.499940038,3.999840021,29.79999924,99151,215.9113617,169.2379456,0,0,0,0
26398,26351.17993,1.180341482,-0.316034615,8.543708801,0.065016843,0.005062787,-0.004796324,-7.94134903,1.499940038,4.058170795,29.79999924,99151,215.6577454,169.3041382,0,0,0,0
26438,26394.57739,1.295263171,-0.500388145,8.801085472,0.049562022,0.005595712,-0.009859112,-7.924683094,1.499940038,4.099835873,29.79999924,99151,215.9960632,169.2821655,0,0,0,0
26482,26435.37793,1.261744261,-0.440533102,8.572439194,0.074343033,-0.008260337,-0.007194487,-7.874684811,1.433276057,4.083169937,29.79999924,99151,215.9113617,169.6844788,0,0,0,0
26522,26475.54224,1.288080573,-0.263362199,8.647856712,0.075941809,0.013056661,-0.006928025,-7.808021069,1.39161098,4.124835014,29.79999924,99151,215.9113617,169.8943787,0,0,0,0
26562,26515.03247,1.340752959,-0.314837515,8.623914719,0.05249311,-0.002398162,-0.009859112,-7.874684811,1.433276057,3.999840021,29.79999924,99151,216.3348999,169.6844788,0,0,0,0
26602,26555.53613,1.197100878,-0.456095427,8.519766808,0.058888208,0.009592649,-0.007993874,-7.891351223,1.541604996,4.14150095,29.79999924,99151,216.2501984,168.9462738,0,0,0,0
